Character_Name,Gender,Role,Universe,Power_Level,Team,First_Appearance_Year,Popularity_Score
GameRevolution,Male,Villain,MCU,82,Avengers,2022,7
Tomorrowland,Female,Hero,MCU,71,Solo,2022,5
Odin,Female,Hero,MCU,57,Solo,2019,9
FanSided,Male,Hero,MCU,93,Guardians,2015,3
Lionsgate,Female,Hero,MCU,97,Solo,2022,2
Frysk,Female,Hero,MCU,82,Solo,2013,6
GameRevolution,Male,Villain,MCU,82,Avengers,2022,7
მარგალური,Female,Villain,MCU,68,Solo,2013,6
Innoventions,Female,Hero,MCU,99,Avengers,2008,4
crossover,Female,Hero,MCU,57,Solo,2021,5
Thor,Male,Villain,MCU,68,Avengers,2019,1
Magyar,Female,Supporting,MCU,81,Guardians,2022,9
Twitter,Male,Supporting,MCU,86,Avengers,2009,10
InfoWars,Male,Hero,MCU,79,Avengers,2021,3
Català,Female,Villain,MCU,61,Guardians,2021,1
Wong,Male,Hero,MCU,90,Solo,2009,5
Suomi,Male,Supporting,MCU,65,Solo,2021,10
Predator,Male,Supporting,MCU,58,Solo,2013,1
Homecoming,Female,Supporting,MCU,57,Solo,2021,10
Wastelanders,Female,Supporting,MCU,88,Guardians,2014,10
Disney,Male,Hero,MCU,93,Guardians,2010,7
Death,Male,Villain,MCU,51,Solo,2013,8
Kinect,Male,Villain,MCU,69,Solo,2013,9
Statistics,Female,Supporting,MCU,94,Guardians,2014,4
Slovenščina,Male,Villain,MCU,77,Guardians,2017,9
coda,Male,Supporting,MCU,87,Solo,2014,9
Tomorrowland,Female,Hero,MCU,71,Solo,2022,5
Sigilverse,Female,Supporting,MCU,79,Guardians,2021,5
Ragnarok,Male,Hero,MCU,87,Avengers,2021,9
intertitle,Female,Supporting,MCU,66,Avengers,2018,6
Cast,Female,Hero,MCU,75,Solo,2023,5
Decider,Male,Hero,MCU,83,Solo,2023,3
Twitter,Male,Supporting,MCU,86,Avengers,2009,10
Tagalog,Male,Supporting,MCU,83,Solo,2014,2
Frysk,Female,Hero,MCU,82,Solo,2013,6
Nederlands,Male,Supporting,MCU,72,Guardians,2013,10
Eesti,Female,Hero,MCU,78,Avengers,2009,3
Talk,Female,Villain,MCU,77,Avengers,2019,3
second,Male,Villain,MCU,51,Guardians,2019,5
Mojo,Female,Supporting,MCU,92,Solo,2021,2
Čeština,Male,Supporting,MCU,63,Avengers,2009,1
Film,Female,Villain,MCU,76,Solo,2020,2
Characters,Male,Supporting,MCU,62,Avengers,2011,4
Slovenčina,Female,Supporting,MCU,85,Guardians,2017,4
Groot,Male,Hero,MCU,60,Guardians,2016,8
Blade,Male,Hero,MCU,84,Avengers,2019,8
multiverse,Male,Villain,MCU,54,Guardians,2022,9
ScreenCrush,Male,Villain,MCU,55,Solo,2010,8
Reception,Female,Supporting,MCU,61,Solo,2017,9
characters,Male,Supporting,MCU,63,Guardians,2021,4
Timeline,Male,Villain,MCU,72,Avengers,2013,1
Svenska,Male,Villain,MCU,79,Solo,2019,9
کوردی,Female,Hero,MCU,89,Guardians,2012,5
Vision,Female,Hero,MCU,83,Guardians,2013,8
Crossover,Male,Hero,MCU,75,Avengers,2010,1
اردو,Male,Hero,MCU,100,Guardians,2021,6
עברית,Female,Hero,MCU,59,Solo,2020,8
Hulu,Male,Supporting,MCU,56,Guardians,2015,3
Tomorrowland,Female,Hero,MCU,71,Solo,2022,5
Innoventions,Female,Hero,MCU,99,Avengers,2008,4
فارسی,Female,Hero,MCU,54,Solo,2020,6
Sigilverse,Female,Supporting,MCU,79,Guardians,2021,5
Fantasia,Male,Supporting,MCU,90,Solo,2018,9
Category,Male,Supporting,MCU,74,Avengers,2009,2
Беларуская,Male,Hero,MCU,98,Avengers,2010,1
Lucasfilm,Female,Supporting,MCU,56,Avengers,2019,3
Film,Female,Villain,MCU,76,Solo,2020,2
Descendants,Female,Supporting,MCU,53,Avengers,2017,7
Български,Male,Villain,MCU,78,Guardians,2021,10
فارسی,Female,Hero,MCU,54,Solo,2020,6
coda,Male,Supporting,MCU,87,Solo,2014,9
Key,Male,Villain,MCU,92,Solo,2012,3
YouTube,Female,Hero,MCU,63,Guardians,2013,10
Firefly,Female,Hero,MCU,57,Guardians,2020,3
continuity,Female,Villain,MCU,63,Solo,2023,10
Android,Male,Hero,MCU,61,Solo,2013,2
Empire,Female,Supporting,MCU,91,Solo,2009,10
Weirdworld,Male,Villain,MCU,55,Guardians,2017,10
CraveOnline,Male,Villain,MCU,61,Guardians,2018,1
Pixar,Female,Supporting,MCU,83,Avengers,2014,8
multiverse,Male,Villain,MCU,54,Guardians,2022,9
Watcher,Female,Supporting,MCU,70,Solo,2011,8
Fandango,Female,Villain,MCU,71,Guardians,2017,4
Features,Female,Hero,MCU,71,Avengers,2015,1
Lists,Male,Villain,MCU,68,Solo,2014,5
Key,Male,Villain,MCU,92,Solo,2012,3
Complex,Female,Supporting,MCU,86,Avengers,2008,8
Tagalog,Male,Supporting,MCU,83,Solo,2014,2
Endgame,Female,Hero,MCU,68,Avengers,2010,5
foreword,Male,Hero,MCU,53,Avengers,2008,3
VisionQuest,Male,Hero,MCU,90,Guardians,2016,10
MovieWeb,Male,Villain,MCU,58,Avengers,2021,5
Freeform,Female,Hero,MCU,68,Solo,2018,5
suburban,Female,Supporting,MCU,95,Guardians,2012,2
Ironheart,Female,Hero,MCU,82,Guardians,2018,8
Species,Male,Hero,MCU,64,Solo,2011,2
Mulan,Female,Villain,MCU,59,Avengers,2021,4
Kingsman,Male,Hero,MCU,51,Avengers,2016,3
Groot,Male,Hero,MCU,60,Guardians,2016,8
Frozen,Female,Supporting,MCU,84,Solo,2020,4
Tweet,Male,Hero,MCU,83,Guardians,2012,2
Twitter,Male,Supporting,MCU,86,Avengers,2009,10
Vulture,Male,Supporting,MCU,89,Solo,2010,10
Ultron,Male,Villain,MCU,50,Guardians,2015,1
